Data points:
[0.02, -0.114]
[0.1, -0.113]
[0.16, -0.165]
[0.21, -0.187]
[0.27, -0.186]
[0.33, -0.191]
[0.39, -0.193]
[0.46, -0.194]
[0.52, -0.188]
[0.57, -0.177]
[0.62, -0.17]
[0.67, -0.173]
[0.72, -0.172]
[0.77, -0.169]
[0.83, -0.167]
[0.88, -0.174]
[0.94, -0.163]
[0.98, -0.158]
[1.04, -0.194]
[1.09, -0.219]
[1.15, -0.237]
[1.2, -0.246]
[1.26, -0.257]
[1.32, -0.32]
[1.39, -0.317]
[1.45, -0.307]
[1.51, -0.308]
[1.56, -0.312]
[1.62, -0.321]
[1.67, -0.33]
[1.74, -0.239]
[1.8, -0.329]
[1.86, -0.452]
[1.91, -0.492]
[1.96, -0.475]
[2.01, -0.555]
[2.07, -0.57]
[2.13, -0.57]
[2.19, -0.592]
[2.25, -0.617]
[2.3, -0.651]
[2.36, -0.681]
[2.42, -0.752]
[2.48, -0.916]
[2.54, -1.041]
[2.59, -1.11]
[2.65, -1.283]
[2.71, -1.384]
[2.77, -1.391]
[2.83, -1.402]
[2.91, -1.417]
[2.96, -1.433]
[3.02, -1.45]
[3.07, -1.465]
[3.12, -1.478]
[3.18, -1.493]
[3.23, -1.51]
[3.28, -1.516]
[3.34, -1.523]
[3.41, -1.52]
[3.47, -1.528]
[3.53, -1.526]
[3.59, -1.526]
[3.65, -1.531]
[3.71, -1.531]
[3.76, -1.532]
[3.82, -1.534]
[3.88, -1.534]
[3.94, -1.536]
[3.99, -1.539]
[4.05, -1.543]
[4.11, -1.543]
[4.17, -1.54]
[4.24, -1.541]
[4.3, -1.537]
[4.36, -1.534]
[4.43, -1.538]
[4.49, -1.539]
[4.55, -1.54]
[4.61, -1.539]
[4.67, -1.54]
[4.72, -1.54]
[4.77, -1.539]
[4.83, -1.54]
[4.89, -1.539]
[4.95, -1.539]
[5.0, -1.539]
[5.06, -1.54]
[5.12, -1.54]
[5.18, -1.543]
[5.24, -1.542]
[5.29, -1.542]
[5.35, -1.543]
[5.41, -1.542]
[5.47, -1.541]
[5.52, -1.541]
[5.58, -1.541]
[5.63, -1.539]
[5.68, -1.537]
[5.73, -1.535]
[5.79, -1.533]
[5.85, -1.532]
[5.92, -1.53]
[5.98, -1.53]
[6.04, -1.529]
[6.1, -1.531]
[6.15, -1.529]
[6.21, -1.53]
[6.28, -1.527]
[6.34, -1.527]
[6.4, -1.527]
[6.46, -1.525]
[6.52, -1.525]
[6.58, -1.522]
[6.63, -1.519]
[6.69, -1.517]
[6.76, -1.516]
[6.81, -1.514]
[6.88, -1.507]
[6.94, -1.496]
[6.99, -1.476]
[7.04, -1.436]
[7.09, -1.396]
[7.15, -1.343]
[7.2, -1.265]
[7.26, -1.087]
[7.32, -1.01]
[7.38, -1.032]
[7.43, -1.015]
[7.49, -0.962]
[7.55, -0.931]
[7.6, -0.904]
[7.66, -0.888]
[7.72, -0.849]
[7.78, -0.823]
[7.84, -0.799]
[7.9, -0.767]
[7.97, -0.697]
[8.03, -0.643]
[8.09, -0.621]
[8.15, -0.604]
[8.21, -0.603]
[8.27, -0.601]
[8.34, -0.599]
[8.4, -0.596]
[8.47, -0.595]
[8.54, -0.593]
[8.61, -0.591]
[8.67, -0.59]
[8.73, -0.534]
[8.78, -0.526]
[8.83, -0.526]
[8.9, -0.526]
[8.95, -0.527]
[9.01, -0.525]
[9.07, -0.524]
[9.13, -0.524]
[9.2, -0.52]
[9.26, -0.497]
[9.32, -0.428]
[9.38, -0.345]
[9.45, -0.332]
[9.52, -0.304]
[9.58, -0.291]
[9.65, -0.316]
[9.7, -0.334]
[9.76, -0.345]
[9.82, -0.36]
[9.88, -0.378]
[9.94, -0.375]
[10.0, -0.344]
[10.07, -0.347]
[10.14, -0.361]
[10.2, -0.337]
[10.27, -0.327]
[10.33, -0.334]
[10.38, -0.334]
[10.44, -0.326]
[10.5, -0.324]
[10.55, -0.324]
[10.61, -0.322]
[10.67, -0.318]
[10.74, -0.316]
[10.8, -0.316]
[10.86, -0.313]
[10.92, -0.311]
[10.98, -0.309]
[11.04, -0.308]
[11.1, -0.304]
[11.17, -0.302]
[11.24, -0.3]
[11.3, -0.299]
[11.36, -0.297]
[11.43, -0.295]
[11.49, -0.294]
[11.56, -0.292]
[11.62, -0.291]
[11.68, -0.289]
[11.74, -0.288]
[11.78, -0.286]
[11.83, -0.285]
[11.88, -0.284]
[11.93, -0.283]
[11.98, -0.281]
[12.03, -0.28]
[12.08, -0.279]
[12.13, -0.278]
[12.18, -0.276]
[12.23, -0.275]
[12.28, -0.274]
[12.32, -0.273]
[12.37, -0.272]
[12.42, -0.271]
[12.46, -0.27]
[12.52, -0.269]
[12.56, -0.268]
[12.61, -0.267]
[12.66, -0.266]
[12.71, -0.265]
[12.75, -0.264]
[12.8, -0.263]
[12.85, -0.262]
[12.91, -0.261]
[12.95, -0.26]
[13.01, -0.259]
[13.06, -0.258]
[13.11, -0.257]
[13.16, -0.256]
[13.22, -0.256]
[13.27, -0.255]
[13.32, -0.254]
[13.39, -0.253]
[13.46, -0.252]
[13.51, -0.251]
